1,1,804.00,356.00,83.00,94.00,1,-1,-1,-1
2,2,853.00,204.00,94.00,77.00,1,-1,-1,-1
2,1,815.59,665.33,78.82,86.29,1,-1,-1,-1
3,2,859.87,582.62,83.26,88.68,1,-1,-1,-1
4,4,480.00,69.00,33.00,49.00,1,-1,-1,-1
4,3,867.00,807.00,66.00,99.00,1,-1,-1,-1
5,5,484.00,324.00,33.00,56.00,1,-1,-1,-1
6,6,483.00,560.00,51.00,74.00,1,-1,-1,-1
7,7,490.00,782.00,57.00,70.00,1,-1,-1,-1
8,8,492.00,978.00,45.00,46.00,1,-1,-1,-1
9,9,585.00,83.00,56.00,63.00,1,-1,-1,-1
10,10,562.00,71.00,96.00,85.00,1,-1,-1,-1
10,9,607.72,417.62,55.56,68.68,1,-1,-1,-1
11,11,572.00,532.00,93.00,74.00,1,-1,-1,-1
12,13,360.00,-1.00,46.00,77.00,1,-1,-1,-1
12,12,589.00,926.00,95.00,66.00,1,-1,-1,-1
13,13,375.67,328.95,43.66,68.04,1,-1,-1,-1
14,13,400.80,674.38,35.58,57.36,1,-1,-1,-1
15,16,541.00,134.00,64.00,91.00,1,-1,-1,-1
15,15,409.00,912.00,59.00,85.00,1,-1,-1,-1
15,14,449.00,54.00,69.00,92.00,1,-1,-1,-1
16,17,554.00,387.00,76.00,97.00,1,-1,-1,-1
16,14,459.66,312.15,74.67,95.66,1,-1,-1,-1
17,18,576.00,651.00,63.00,89.00,1,-1,-1,-1
17,14,479.58,582.40,66.54,80.81,1,-1,-1,-1
18,20,555.00,7.00,68.00,72.00,1,-1,-1,-1
18,19,499.00,930.00,71.00,62.00,1,-1,-1,-1
19,21,571.00,412.00,73.00,79.00,1,-1,-1,-1
20,26,295.00,98.00,50.00,67.00,1,-1,-1,-1
20,25,346.00,84.00,73.00,73.00,1,-1,-1,-1
20,24,363.00,159.00,66.00,85.00,1,-1,-1,-1
20,23,564.00,862.00,75.00,60.00,1,-1,-1,-1
20,22,597.00,817.00,70.00,70.00,1,-1,-1,-1
21,28,323.00,482.00,54.00,71.00,1,-1,-1,-1
21,27,389.00,601.00,59.00,67.00,1,-1,-1,-1
21,24,368.69,539.13,62.62,76.67,1,-1,-1,-1
22,31,428.00,991.00,61.00,33.00,1,-1,-1,-1
22,30,894.00,242.00,66.00,96.00,1,-1,-1,-1
22,29,851.00,247.00,65.00,108.00,1,-1,-1,-1
22,24,369.69,882.88,51.68,67.77,1,-1,-1,-1
23,34,982.00,206.00,39.00,106.00,1,-1,-1,-1
23,33,897.00,676.00,75.00,108.00,1,-1,-1,-1
23,32,869.00,701.00,58.00,111.00,1,-1,-1,-1
24,35,1001.00,618.00,23.00,99.00,1,-1,-1,-1
27,36,704.00,51.00,46.00,37.00,1,-1,-1,-1
28,37,729.00,459.00,45.00,53.00,1,-1,-1,-1
29,40,750.00,827.00,40.00,50.00,1,-1,-1,-1
29,39,570.00,23.00,87.00,69.00,1,-1,-1,-1
29,38,893.00,251.00,58.00,48.00,1,-1,-1,-1
30,43,916.00,629.00,54.00,47.00,1,-1,-1,-1
30,42,541.00,18.00,76.00,86.00,1,-1,-1,-1
30,41,606.00,397.00,75.00,82.00,1,-1,-1,-1
31,44,251.00,12.00,53.00,73.00,1,-1,-1,-1
31,43,929.90,951.06,50.20,47.81,1,-1,-1,-1
31,41,629.90,740.08,76.20,83.78,1,-1,-1,-1
31,39,560.49,347.07,79.01,78.85,1,-1,-1,-1
32,46,299.00,238.00,49.00,63.00,1,-1,-1,-1
32,45,589.00,695.00,65.00,69.00,1,-1,-1,-1
32,44,265.39,281.88,51.22,74.19,1,-1,-1,-1
33,48,608.00,982.00,64.00,42.00,1,-1,-1,-1
33,47,318.00,503.00,46.00,54.00,1,-1,-1,-1
33,44,287.63,528.04,49.74,71.11,1,-1,-1,-1
34,49,345.00,786.00,44.00,71.00,1,-1,-1,-1
34,47,312.21,799.60,47.57,64.73,1,-1,-1,-1
36,51,506.00,0.00,70.00,41.00,1,-1,-1,-1
36,50,516.00,172.00,48.00,78.00,1,-1,-1,-1
37,51,525.29,288.85,77.42,63.24,1,-1,-1,-1
37,50,528.26,479.24,51.49,74.46,1,-1,-1,-1
38,52,541.00,649.00,48.00,85.00,1,-1,-1,-1
38,50,518.52,804.98,61.31,78.23,1,-1,-1,-1
45,53,269.00,58.00,51.00,64.00,1,-1,-1,-1
46,55,767.00,128.00,60.00,76.00,1,-1,-1,-1
46,54,283.00,281.00,46.00,60.00,1,-1,-1,-1
47,57,299.00,520.00,37.00,57.00,1,-1,-1,-1
47,56,726.00,225.00,75.00,94.00,1,-1,-1,-1
47,55,775.61,422.48,52.78,68.99,1,-1,-1,-1
48,60,423.00,216.00,44.00,56.00,1,-1,-1,-1
48,59,313.00,794.00,38.00,53.00,1,-1,-1,-1
48,58,732.00,601.00,58.00,77.00,1,-1,-1,-1
48,55,771.66,744.81,53.74,72.22,1,-1,-1,-1
49,61,432.00,578.00,46.00,49.00,1,-1,-1,-1
53,62,507.00,160.00,76.00,89.00,1,-1,-1,-1
54,62,522.65,496.75,69.70,88.44,1,-1,-1,-1
55,63,544.00,749.00,64.00,87.00,1,-1,-1,-1
56,64,546.00,957.00,69.00,62.00,1,-1,-1,-1
63,65,438.00,549.00,32.00,53.00,1,-1,-1,-1
64,67,452.00,811.00,49.00,52.00,1,-1,-1,-1
64,66,769.00,31.00,83.00,98.00,1,-1,-1,-1
65,66,788.95,367.02,75.10,88.90,1,-1,-1,-1
66,66,801.20,662.92,68.48,79.17,1,-1,-1,-1
67,69,383.00,273.00,48.00,45.00,1,-1,-1,-1
67,68,560.00,34.00,78.00,80.00,1,-1,-1,-1
68,70,591.00,396.00,79.00,77.00,1,-1,-1,-1
68,69,407.07,589.97,41.87,43.00,1,-1,-1,-1
69,71,424.00,823.00,50.00,39.00,1,-1,-1,-1
69,70,609.03,673.99,80.93,82.97,1,-1,-1,-1
70,70,619.46,926.63,84.91,87.00,1,-1,-1,-1
74,72,478.00,189.00,46.00,48.00,1,-1,-1,-1
75,74,362.00,175.00,44.00,45.00,1,-1,-1,-1
75,73,319.00,207.00,50.00,86.00,1,-1,-1,-1
75,72,495.20,507.78,61.60,63.38,1,-1,-1,-1
76,76,401.00,523.00,50.00,53.00,1,-1,-1,-1
76,75,355.00,522.00,46.00,91.00,1,-1,-1,-1
76,72,531.55,826.74,59.61,65.30,1,-1,-1,-1
77,76,377.15,814.04,57.71,73.86,1,-1,-1,-1
78,78,790.00,52.00,65.00,77.00,1,-1,-1,-1
78,77,366.00,144.00,42.00,87.00,1,-1,-1,-1
79,79,379.00,357.00,48.00,89.00,1,-1,-1,-1
79,78,816.78,350.23,64.44,77.47,1,-1,-1,-1
80,80,397.00,591.00,54.00,81.00,1,-1,-1,-1
80,78,836.38,648.21,65.06,78.54,1,-1,-1,-1
81,81,413.00,848.00,47.00,86.00,1,-1,-1,-1
81,78,842.08,976.76,54.35,52.34,1,-1,-1,-1
85,82,589.00,0.00,42.00,53.00,1,-1,-1,-1
86,83,603.00,356.00,45.00,73.00,1,-1,-1,-1
87,85,737.00,211.00,54.00,62.00,1,-1,-1,-1
87,84,616.00,716.00,51.00,79.00,1,-1,-1,-1
88,86,771.00,650.00,48.00,56.00,1,-1,-1,-1
89,88,587.00,72.00,94.00,104.00,1,-1,-1,-1
89,87,485.00,35.00,69.00,76.00,1,-1,-1,-1
90,90,623.00,475.00,74.00,89.00,1,-1,-1,-1
90,89,506.00,423.00,73.00,73.00,1,-1,-1,-1
91,90,639.86,790.01,75.28,85.92,1,-1,-1,-1
91,89,530.21,730.88,72.58,67.17,1,-1,-1,-1
93,91,290.00,183.00,73.00,103.00,1,-1,-1,-1
94,93,460.00,379.00,57.00,75.00,1,-1,-1,-1
94,92,377.00,68.00,49.00,60.00,1,-1,-1,-1
94,91,318.37,530.90,68.25,100.14,1,-1,-1,-1
95,95,481.00,619.00,42.00,75.00,1,-1,-1,-1
95,94,393.00,312.00,43.00,50.00,1,-1,-1,-1
95,91,334.90,800.21,71.19,101.12,1,-1,-1,-1
96,97,402.00,499.00,46.00,59.00,1,-1,-1,-1
96,96,490.00,805.00,42.00,76.00,1,-1,-1,-1
97,99,539.00,0.00,81.00,61.00,1,-1,-1,-1
97,98,413.00,742.00,51.00,56.00,1,-1,-1,-1
98,100,344.00,0.00,76.00,62.00,1,-1,-1,-1
98,99,557.11,292.18,82.78,77.59,1,-1,-1,-1
99,102,651.00,130.00,72.00,84.00,1,-1,-1,-1
99,101,519.00,219.00,78.00,92.00,1,-1,-1,-1
99,100,341.04,301.16,91.92,88.61,1,-1,-1,-1
