7,1,325.00,83.00,90.00,99.00,1,-1,-1,-1
8,1,343.17,293.94,84.65,97.07,1,-1,-1,-1
9,1,351.29,524.82,71.18,83.56,1,-1,-1,-1
10,1,371.11,748.58,61.77,75.46,1,-1,-1,-1
11,2,371.00,0.00,68.00,71.00,1,-1,-1,-1
11,1,389.76,951.33,47.47,56.62,1,-1,-1,-1
12,3,384.00,188.00,90.00,84.00,1,-1,-1,-1
13,4,718.00,48.00,123.00,129.00,1,-1,-1,-1
13,3,403.92,410.22,90.16,92.51,1,-1,-1,-1
14,5,406.00,711.00,31.00,26.00,1,-1,-1,-1
14,4,728.78,332.20,125.43,132.54,1,-1,-1,-1
14,3,422.89,647.80,79.05,80.71,1,-1,-1,-1
15,6,419.00,913.00,34.00,44.00,1,-1,-1,-1
15,4,739.35,612.40,125.48,130.98,1,-1,-1,-1
15,3,432.36,862.04,78.29,83.38,1,-1,-1,-1
16,4,751.25,873.11,123.47,126.72,1,-1,-1,-1
20,7,875.00,0.00,130.00,58.00,1,-1,-1,-1
21,7,884.66,269.89,154.67,96.15,1,-1,-1,-1
22,7,893.65,583.89,140.24,93.23,1,-1,-1,-1
23,7,902.89,852.36,130.62,95.22,1,-1,-1,-1
27,8,707.00,179.00,86.00,119.00,1,-1,-1,-1
28,8,720.37,476.27,77.27,98.40,1,-1,-1,-1
29,8,729.82,780.70,77.30,96.49,1,-1,-1,-1
30,9,815.00,54.00,117.00,91.00,1,-1,-1,-1
31,10,835.00,411.00,105.00,105.00,1,-1,-1,-1
32,10,847.88,747.08,100.24,100.76,1,-1,-1,-1
36,11,594.00,44.00,98.00,91.00,1,-1,-1,-1
37,11,622.10,357.85,86.80,84.23,1,-1,-1,-1
38,12,811.00,0.00,126.00,46.00,1,-1,-1,-1
38,11,629.45,682.05,83.22,81.32,1,-1,-1,-1
39,13,647.00,966.00,83.00,58.00,1,-1,-1,-1
39,12,805.69,281.81,166.61,95.32,1,-1,-1,-1
40,14,900.00,219.00,124.00,129.00,1,-1,-1,-1
40,12,832.29,629.59,147.17,101.23,1,-1,-1,-1
41,14,925.76,565.03,101.47,119.87,1,-1,-1,-1
42,14,912.24,865.57,108.58,119.92,1,-1,-1,-1
46,15,894.00,0.00,96.00,49.00,1,-1,-1,-1
47,15,896.49,294.08,142.02,101.78,1,-1,-1,-1
48,15,899.99,665.37,139.90,119.74,1,-1,-1,-1
49,16,902.00,919.00,122.00,78.00,1,-1,-1,-1
50,17,476.00,0.00,124.00,91.00,1,-1,-1,-1
51,17,481.43,219.41,136.14,120.13,1,-1,-1,-1
52,17,498.50,480.62,136.29,130.66,1,-1,-1,-1
53,18,972.00,154.00,52.00,109.00,1,-1,-1,-1
53,17,522.43,724.77,133.76,126.96,1,-1,-1,-1
54,18,993.78,489.14,31.44,76.65,1,-1,-1,-1
55,18,991.23,803.21,34.13,88.42,1,-1,-1,-1
57,19,526.00,24.00,81.00,102.00,1,-1,-1,-1
58,19,537.09,275.86,80.81,101.24,1,-1,-1,-1
59,19,553.15,507.98,95.17,126.82,1,-1,-1,-1
60,19,567.81,738.67,89.65,125.48,1,-1,-1,-1
65,20,906.00,88.00,118.00,146.00,1,-1,-1,-1
66,20,918.19,413.05,106.63,146.83,1,-1,-1,-1
67,20,926.01,714.23,100.21,145.60,1,-1,-1,-1
71,21,900.00,189.00,124.00,148.00,1,-1,-1,-1
72,21,920.80,505.93,105.40,137.07,1,-1,-1,-1
73,21,917.84,793.65,107.01,144.19,1,-1,-1,-1
81,22,554.00,108.00,82.00,46.00,1,-1,-1,-1
82,23,518.00,0.00,113.00,76.00,1,-1,-1,-1
82,22,562.64,383.18,79.71,45.59,1,-1,-1,-1
83,24,685.00,551.00,53.00,55.00,1,-1,-1,-1
83,23,515.61,224.09,120.78,101.78,1,-1,-1,-1
83,22,571.06,631.53,99.52,61.25,1,-1,-1,-1
84,24,686.69,798.07,54.62,66.81,1,-1,-1,-1
84,23,536.13,470.02,104.38,103.70,1,-1,-1,-1
84,22,580.32,862.70,102.38,66.03,1,-1,-1,-1
85,23,555.10,738.90,98.70,105.28,1,-1,-1,-1
86,26,479.00,187.00,92.00,82.00,1,-1,-1,-1
86,25,620.00,341.00,58.00,77.00,1,-1,-1,-1
87,26,498.80,421.14,95.40,89.68,1,-1,-1,-1
87,25,620.42,598.38,78.15,89.18,1,-1,-1,-1
88,26,518.02,660.92,82.08,78.60,1,-1,-1,-1
89,26,524.32,870.55,87.28,80.64,1,-1,-1,-1
91,27,813.00,152.00,124.00,97.00,1,-1,-1,-1
92,27,827.06,408.92,121.87,95.11,1,-1,-1,-1
93,27,832.12,672.77,125.52,105.77,1,-1,-1,-1
94,27,835.41,924.66,114.82,81.40,1,-1,-1,-1
